internalTaxonId,conservationNeededCode,conservationNeededName
133148,2.1,Site/area management
133148,3.2,Species recovery
133148,1.1,Site/area protection
133148,3.4.2,Genome resource bank
133149,1.1,Site/area protection
133149,2.3,Habitat & natural process restoration
133149,3.4.1,Captive breeding/artificial propagation
133149,3.2,Species recovery
133149,3.4.2,Genome resource bank
133149,2.1,Site/area management
133151,3.2,Species recovery
133151,3.4.1,Captive breeding/artificial propagation
133151,2.1,Site/area management
133151,3.4.2,Genome resource bank
133151,2.3,Habitat & natural process restoration
133151,1.1,Site/area protection
133156,1.1,Site/area protection
133156,3.2,Species recovery
133156,3.4.2,Genome resource bank
133156,3.4.1,Captive breeding/artificial propagation
133156,2.3,Habitat & natural process restoration
133156,2.1,Site/area management
133157,1.1,Site/area protection
133157,3.4.2,Genome resource bank
133157,2.3,Habitat & natural process restoration
133157,3.4.1,Captive breeding/artificial propagation
133157,2.1,Site/area management
133157,3.2,Species recovery
133158,3.4.1,Captive breeding/artificial propagation
133158,3.4.2,Genome resource bank
133158,2.3,Habitat & natural process restoration
133158,1.1,Site/area protection
133158,3.2,Species recovery
133158,2.1,Site/area management
254277149,1.1,Site/area protection
254277149,2.3,Habitat & natural process restoration
254277149,2.1,Site/area management
254277149,3.4.2,Genome resource bank
254277149,3.4.1,Captive breeding/artificial propagation
254277149,3.2,Species recovery
133161,3.4.1,Captive breeding/artificial propagation
133161,2.1,Site/area management
133161,3.2,Species recovery
133161,1.1,Site/area protection
133161,3.4.2,Genome resource bank
133161,2.3,Habitat & natural process restoration
133164,3.4.2,Genome resource bank
133164,2.3,Habitat & natural process restoration
133164,1.1,Site/area protection
133164,3.2,Species recovery
133164,3.4.1,Captive breeding/artificial propagation
133164,2.1,Site/area management
133166,3.4.1,Captive breeding/artificial propagation
133166,2.1,Site/area management
133166,3.2,Species recovery
133166,1.1,Site/area protection
133166,2.3,Habitat & natural process restoration
133166,3.4.2,Genome resource bank
133167,1.1,Site/area protection
133167,2.3,Habitat & natural process restoration
133167,3.4.1,Captive breeding/artificial propagation
133167,3.2,Species recovery
133167,3.4.2,Genome resource bank
133167,2.1,Site/area management
133169,1.1,Site/area protection
133169,3.4.2,Genome resource bank
133169,2.3,Habitat & natural process restoration
133169,3.4.1,Captive breeding/artificial propagation
133169,2.1,Site/area management
133169,3.2,Species recovery
133171,2.1,Site/area management
133171,3.4.1,Captive breeding/artificial propagation
133171,2.3,Habitat & natural process restoration
133171,3.4.2,Genome resource bank
133171,3.2,Species recovery
133171,1.1,Site/area protection
133172,3.2,Species recovery
133172,3.4.1,Captive breeding/artificial propagation
133172,2.3,Habitat & natural process restoration
133172,1.1,Site/area protection
133172,3.4.2,Genome resource bank
133172,2.1,Site/area management
133175,1.1,Site/area protection
133175,3.2,Species recovery
133175,2.1,Site/area management
133175,3.4.1,Captive breeding/artificial propagation
133175,2.3,Habitat & natural process restoration
133175,3.4.2,Genome resource bank
133178,3.2,Species recovery
133178,3.4.1,Captive breeding/artificial propagation
133178,3.4.2,Genome resource bank
133178,2.1,Site/area management
133178,1.1,Site/area protection
133178,2.3,Habitat & natural process restoration
133179,1.1,Site/area protection
133179,2.1,Site/area management
133179,3.4.1,Captive breeding/artificial propagation
133179,3.2,Species recovery
133179,2.3,Habitat & natural process restoration
133179,3.4.2,Genome resource bank
133181,2.1,Site/area management
133181,2.3,Habitat & natural process restoration
133181,3.4.2,Genome resource bank
133181,1.1,Site/area protection
133181,3.2,Species recovery
133181,3.4.1,Captive breeding/artificial propagation
133182,3.4.1,Captive breeding/artificial propagation
133182,2.1,Site/area management
133182,3.2,Species recovery
133182,2.3,Habitat & natural process restoration
133182,3.4.2,Genome resource bank
133182,1.1,Site/area protection
133183,2.1,Site/area management
133183,3.4.2,Genome resource bank
133183,2.3,Habitat & natural process restoration
133183,1.1,Site/area protection
133183,3.2,Species recovery
133183,3.4.1,Captive breeding/artificial propagation
133185,1.1,Site/area protection
133185,2.3,Habitat & natural process restoration
133185,3.4.2,Genome resource bank
133185,2.1,Site/area management
133185,3.4.1,Captive breeding/artificial propagation
133185,3.2,Species recovery
133186,3.2,Species recovery
133186,1.1,Site/area protection
133186,2.3,Habitat & natural process restoration
133186,3.4.2,Genome resource bank
133186,2.1,Site/area management
133186,3.4.1,Captive breeding/artificial propagation
133188,3.4.1,Captive breeding/artificial propagation
133188,3.2,Species recovery
133188,3.4.2,Genome resource bank
133188,2.1,Site/area management
133188,1.1,Site/area protection
133188,2.3,Habitat & natural process restoration
133194,2.1,Site/area management
133194,3.4.1,Captive breeding/artificial propagation
133194,3.2,Species recovery
133194,1.1,Site/area protection
133194,3.4.2,Genome resource bank
133194,2.3,Habitat & natural process restoration
133195,3.2,Species recovery
133195,1.1,Site/area protection
133195,2.3,Habitat & natural process restoration
133195,2.1,Site/area management
133195,3.4.2,Genome resource bank
133195,3.4.1,Captive breeding/artificial propagation
133196,1.1,Site/area protection
133196,2.3,Habitat & natural process restoration
133196,3.4.1,Captive breeding/artificial propagation
133196,3.2,Species recovery
133196,3.4.2,Genome resource bank
133196,2.1,Site/area management
254422741,3.2,Species recovery
254422741,3.4.1,Captive breeding/artificial propagation
254422741,2.1,Site/area management
254422741,3.4.2,Genome resource bank
254422741,1.1,Site/area protection
254422741,2.3,Habitat & natural process restoration
133198,1.1,Site/area protection
133198,3.2,Species recovery
133198,3.4.2,Genome resource bank
133198,2.3,Habitat & natural process restoration
133198,3.4.1,Captive breeding/artificial propagation
133198,2.1,Site/area management
133199,1.1,Site/area protection
133199,2.3,Habitat & natural process restoration
133199,3.4.2,Genome resource bank
133199,2.1,Site/area management
133199,3.4.1,Captive breeding/artificial propagation
133199,3.2,Species recovery
133200,3.2,Species recovery
133200,1.1,Site/area protection
133200,2.3,Habitat & natural process restoration
133200,3.4.2,Genome resource bank
133200,3.4.1,Captive breeding/artificial propagation
133200,2.1,Site/area management
133201,2.3,Habitat & natural process restoration
133201,3.2,Species recovery
133201,3.4.2,Genome resource bank
133201,3.4.1,Captive breeding/artificial propagation
133201,2.1,Site/area management
133201,1.1,Site/area protection
133202,3.2,Species recovery
133202,3.4.2,Genome resource bank
133202,1.1,Site/area protection
133202,2.3,Habitat & natural process restoration
133202,3.4.1,Captive breeding/artificial propagation
133202,2.1,Site/area management
133204,1.1,Site/area protection
133204,2.3,Habitat & natural process restoration
133204,3.4.2,Genome resource bank
133204,2.1,Site/area management
133204,3.4.1,Captive breeding/artificial propagation
133204,3.2,Species recovery
133206,3.4.1,Captive breeding/artificial propagation
133206,3.2,Species recovery
133206,3.4.2,Genome resource bank
133206,2.1,Site/area management
133206,1.1,Site/area protection
133206,2.3,Habitat & natural process restoration
254274183,2.3,Habitat & natural process restoration
254274183,3.4.2,Genome resource bank
254274183,1.1,Site/area protection
254274183,3.2,Species recovery
254274183,2.1,Site/area management
254274183,3.4.1,Captive breeding/artificial propagation
219646070,1.1,Site/area protection
219646070,2.1,Site/area management
219646070,3.4.1,Captive breeding/artificial propagation
219646070,2.3,Habitat & natural process restoration
219646070,3.2,Species recovery
219646070,3.4.2,Genome resource bank
133209,2.3,Habitat & natural process restoration
133209,3.4.1,Captive breeding/artificial propagation
133209,3.4.2,Genome resource bank
133209,2.1,Site/area management
133209,1.1,Site/area protection
133209,3.2,Species recovery
133215,1.1,Site/area protection
133215,2.3,Habitat & natural process restoration
133215,3.4.2,Genome resource bank
133215,2.1,Site/area management
133215,3.2,Species recovery
133215,3.4.1,Captive breeding/artificial propagation
133216,2.1,Site/area management
133216,3.4.2,Genome resource bank
133216,3.2,Species recovery
133216,3.4.1,Captive breeding/artificial propagation
133216,2.3,Habitat & natural process restoration
133216,1.1,Site/area protection
133220,3.4.2,Genome resource bank
133220,1.1,Site/area protection
133220,3.2,Species recovery
133220,2.1,Site/area management
133220,3.4.1,Captive breeding/artificial propagation
133220,2.3,Habitat & natural process restoration
133222,3.2,Species recovery
133222,2.1,Site/area management
133222,3.4.1,Captive breeding/artificial propagation
133222,3.4.2,Genome resource bank
133222,2.3,Habitat & natural process restoration
133222,1.1,Site/area protection
133223,3.2,Species recovery
133223,3.4.1,Captive breeding/artificial propagation
133223,2.1,Site/area management
133223,3.4.2,Genome resource bank
133223,2.3,Habitat & natural process restoration
133223,1.1,Site/area protection
133227,3.4.2,Genome resource bank
133227,2.3,Habitat & natural process restoration
133227,1.1,Site/area protection
133227,3.2,Species recovery
133227,2.1,Site/area management
133227,3.4.1,Captive breeding/artificial propagation
133230,2.1,Site/area management
133230,1.1,Site/area protection
133230,2.3,Habitat & natural process restoration
133230,3.4.1,Captive breeding/artificial propagation
133230,3.2,Species recovery
133230,3.4.2,Genome resource bank
133231,2.3,Habitat & natural process restoration
133231,1.1,Site/area protection
133231,3.2,Species recovery
133231,3.4.1,Captive breeding/artificial propagation
133231,3.4.2,Genome resource bank
133231,2.1,Site/area management
133234,2.3,Habitat & natural process restoration
133234,3.4.2,Genome resource bank
133234,1.1,Site/area protection
133234,3.2,Species recovery
133234,2.1,Site/area management
133234,3.4.1,Captive breeding/artificial propagation
133238,3.4.2,Genome resource bank
133238,2.1,Site/area management
133238,1.1,Site/area protection
133238,2.3,Habitat & natural process restoration
133238,3.4.1,Captive breeding/artificial propagation
133238,3.2,Species recovery
133239,2.3,Habitat & natural process restoration
133239,3.4.2,Genome resource bank
133239,2.1,Site/area management
133239,3.4.1,Captive breeding/artificial propagation
133239,3.2,Species recovery
133239,1.1,Site/area protection
133240,1.1,Site/area protection
133240,3.2,Species recovery
133240,3.4.1,Captive breeding/artificial propagation
133240,3.4.2,Genome resource bank
133240,2.1,Site/area management
133240,2.3,Habitat & natural process restoration
133242,2.3,Habitat & natural process restoration
133242,1.1,Site/area protection
133242,3.4.2,Genome resource bank
133242,2.1,Site/area management
133242,3.4.1,Captive breeding/artificial propagation
133242,3.2,Species recovery
133244,3.4.1,Captive breeding/artificial propagation
133244,2.3,Habitat & natural process restoration
133244,3.2,Species recovery
133244,2.1,Site/area management
133244,3.4.2,Genome resource bank
133244,1.1,Site/area protection
133245,1.1,Site/area protection
133245,3.2,Species recovery
133245,2.1,Site/area management
133245,3.4.1,Captive breeding/artificial propagation
133245,2.3,Habitat & natural process restoration
133245,3.4.2,Genome resource bank
133246,3.2,Species recovery
133246,3.4.2,Genome resource bank
133246,2.3,Habitat & natural process restoration
133246,3.4.1,Captive breeding/artificial propagation
133246,1.1,Site/area protection
133246,2.1,Site/area management
133247,3.4.2,Genome resource bank
133247,2.3,Habitat & natural process restoration
133247,3.4.1,Captive breeding/artificial propagation
133247,2.1,Site/area management
133247,3.2,Species recovery
133247,1.1,Site/area protection
254271535,1.1,Site/area protection
254271535,2.3,Habitat & natural process restoration
254271535,3.4.2,Genome resource bank
254271535,2.1,Site/area management
254271535,3.4.1,Captive breeding/artificial propagation
254271535,3.2,Species recovery
133249,3.2,Species recovery
133249,1.1,Site/area protection
133249,2.1,Site/area management
133249,2.3,Habitat & natural process restoration
133249,3.4.1,Captive breeding/artificial propagation
133249,3.4.2,Genome resource bank
254415453,3.4.2,Genome resource bank
254415453,1.1,Site/area protection
254415453,3.2,Species recovery
254415453,2.1,Site/area management
254415453,2.3,Habitat & natural process restoration
254415453,3.4.1,Captive breeding/artificial propagation
133251,1.1,Site/area protection
133251,2.3,Habitat & natural process restoration
133251,3.4.2,Genome resource bank
133251,3.2,Species recovery
133251,3.4.1,Captive breeding/artificial propagation
133251,2.1,Site/area management
133253,2.3,Habitat & natural process restoration
133253,1.1,Site/area protection
133253,2.1,Site/area management
133253,3.4.2,Genome resource bank
133253,3.2,Species recovery
133253,3.4.1,Captive breeding/artificial propagation
133256,3.4.2,Genome resource bank
133256,2.1,Site/area management
133256,1.1,Site/area protection
133256,2.3,Habitat & natural process restoration
133256,3.4.1,Captive breeding/artificial propagation
133256,3.2,Species recovery
133258,2.3,Habitat & natural process restoration
133258,1.1,Site/area protection
133258,3.4.2,Genome resource bank
133258,2.1,Site/area management
133258,3.2,Species recovery
133258,3.4.1,Captive breeding/artificial propagation
133259,2.3,Habitat & natural process restoration
133259,1.1,Site/area protection
133259,2.1,Site/area management
133259,3.4.2,Genome resource bank
133259,3.4.1,Captive breeding/artificial propagation
133259,3.2,Species recovery
133260,3.4.1,Captive breeding/artificial propagation
133260,3.2,Species recovery
133260,2.3,Habitat & natural process restoration
133260,1.1,Site/area protection
133260,3.4.2,Genome resource bank
133260,2.1,Site/area management
133261,3.2,Species recovery
133261,2.1,Site/area management
133261,3.4.1,Captive breeding/artificial propagation
133261,2.3,Habitat & natural process restoration
133261,3.4.2,Genome resource bank
133261,1.1,Site/area protection
133262,1.1,Site/area protection
133262,2.1,Site/area management
133262,2.3,Habitat & natural process restoration
133262,3.4.1,Captive breeding/artificial propagation
133262,3.4.2,Genome resource bank
133262,3.2,Species recovery
133263,1.1,Site/area protection
133263,3.2,Species recovery
133263,2.1,Site/area management
133263,3.4.1,Captive breeding/artificial propagation
133263,2.3,Habitat & natural process restoration
133263,3.4.2,Genome resource bank
133267,3.2,Species recovery
133267,2.1,Site/area management
133267,3.4.1,Captive breeding/artificial propagation
133267,3.4.2,Genome resource bank
133267,2.3,Habitat & natural process restoration
133267,1.1,Site/area protection
133272,2.1,Site/area management
133272,3.4.2,Genome resource bank
133272,2.3,Habitat & natural process restoration
133272,1.1,Site/area protection
133272,3.4.1,Captive breeding/artificial propagation
133272,3.2,Species recovery
133277,3.2,Species recovery
133277,3.4.1,Captive breeding/artificial propagation
133277,1.1,Site/area protection
133277,3.4.2,Genome resource bank
133277,2.1,Site/area management
133277,2.3,Habitat & natural process restoration
133282,3.4.1,Captive breeding/artificial propagation
133282,3.2,Species recovery
133282,3.4.2,Genome resource bank
133282,2.1,Site/area management
133282,1.1,Site/area protection
133282,2.3,Habitat & natural process restoration
133287,1.1,Site/area protection
133287,2.3,Habitat & natural process restoration
133287,3.4.2,Genome resource bank
133287,2.1,Site/area management
133287,3.2,Species recovery
133287,3.4.1,Captive breeding/artificial propagation
133290,2.3,Habitat & natural process restoration
133290,3.4.2,Genome resource bank
133290,2.1,Site/area management
133290,3.4.1,Captive breeding/artificial propagation
133290,3.2,Species recovery
133290,1.1,Site/area protection
133291,3.4.1,Captive breeding/artificial propagation
133291,2.3,Habitat & natural process restoration
133291,2.1,Site/area management
133291,1.1,Site/area protection
133291,3.2,Species recovery
133291,3.4.2,Genome resource bank
254416750,3.2,Species recovery
254416750,2.1,Site/area management
254416750,3.4.2,Genome resource bank
254416750,1.1,Site/area protection
254416750,2.3,Habitat & natural process restoration
254416750,3.4.1,Captive breeding/artificial propagation
254348980,3.4.1,Captive breeding/artificial propagation
254348980,3.2,Species recovery
254348980,3.4.2,Genome resource bank
254348980,1.1,Site/area protection
254348980,2.1,Site/area management
254348980,2.3,Habitat & natural process restoration
133295,3.4.2,Genome resource bank
133295,2.3,Habitat & natural process restoration
133295,3.4.1,Captive breeding/artificial propagation
133295,2.1,Site/area management
133295,3.2,Species recovery
133295,1.1,Site/area protection
133297,3.2,Species recovery
133297,3.4.1,Captive breeding/artificial propagation
133297,2.1,Site/area management
133297,3.4.2,Genome resource bank
133297,2.3,Habitat & natural process restoration
133297,1.1,Site/area protection
133298,3.4.1,Captive breeding/artificial propagation
133298,2.1,Site/area management
133298,3.4.2,Genome resource bank
133298,1.1,Site/area protection
133298,2.3,Habitat & natural process restoration
133298,3.2,Species recovery
133299,1.1,Site/area protection
133299,2.3,Habitat & natural process restoration
133299,3.4.2,Genome resource bank
133299,2.1,Site/area management
133299,3.4.1,Captive breeding/artificial propagation
133299,3.2,Species recovery
133301,3.4.2,Genome resource bank
133301,2.1,Site/area management
133301,3.2,Species recovery
133301,3.4.1,Captive breeding/artificial propagation
133301,2.3,Habitat & natural process restoration
133301,1.1,Site/area protection
133302,3.4.2,Genome resource bank
133302,2.3,Habitat & natural process restoration
133302,1.1,Site/area protection
133302,3.2,Species recovery
133302,3.4.1,Captive breeding/artificial propagation
133302,2.1,Site/area management
133303,3.4.1,Captive breeding/artificial propagation
133303,3.2,Species recovery
133303,3.4.2,Genome resource bank
133303,2.1,Site/area management
133303,1.1,Site/area protection
133303,2.3,Habitat & natural process restoration
133304,2.1,Site/area management
133304,3.2,Species recovery
133304,2.3,Habitat & natural process restoration
133304,3.4.1,Captive breeding/artificial propagation
133304,3.4.2,Genome resource bank
133304,1.1,Site/area protection
133307,2.1,Site/area management
133307,3.4.2,Genome resource bank
